feature_set_version,freeze_id,source_run_id,collector_ts,book_timestamp,iteration,batch_index,market_id,event_id,outcome,token_index,token_id,clob_market,hash,spread,midpoint,best_bid_size,best_ask_size,top_of_book_imbalance,microprice_proxy,last_trade_minus_mid,bid_levels_count,ask_levels_count,staleness_flag,market_quality_score
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:35.272774+00:00,1773265355078,1,1,540844,,No,1,91863162118308663069733924043159186005106558783397508844234610341221325526200,0xbb57ccf5853a85487bc3d83d04d669310d28c6c810758953b9d9b91d1aee89d2,693aa5e86a936d8a0252dc1614718e716f723229,0.003,0.5115,66744.39,1519.82,0.95547242,0.51293321,-0.0015,50,63,0,3
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:35.272774+00:00,1773265344565,1,1,544092,,No,1,86488478623677188352872801318507143761188967461168408688159600382919967378486,0xf398b0e5016eeaee9b0885ed84012b6dc91269ac10d3b59d60722859c2e30b2f,1574caedde0c1a78076ae370f510fc7a02744857,0.056,0.539,80,15.11,0.68226264,0.55810335,-0.034,32,21,0,3
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:35.272774+00:00,1773265333353,1,1,540843,,Yes,0,21695138873211375451055566770107682325494206727818897067665810321709249824909,0x7b49b9bacb5f435bc10f3b100ff59e2fdd346f7f92a9001881bc9825a0af0f11,3ad1217f0306e59fcf5c623ea6370bc13f68db93,0.01,0.515,4597.24,5071.65,-0.04906561,0.51475467,-0.034,49,32,1,2
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:35.272774+00:00,1773265344565,1,1,544092,,Yes,0,24327803960645909378149041810697343640752122608192367041827900158592826352552,0xf398b0e5016eeaee9b0885ed84012b6dc91269ac10d3b59d60722859c2e30b2f,a7216a30cd5d07004a16ff393ab4fccfab0a7c35,0.056,0.461,15.11,80,-0.68226264,0.44189665,0.044,21,32,0,3
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265293756,2,0,540816,,No,1,2527312495175492857904889758552137141356236738032676480522356889996545113869,0x9c1a953fe92c8357f1b646ba25d983aa83e90c525992db14fb726fa895cb5763,5302544f2e155f2306cd570a4b058bebb8346af3,0.02,0.42,324.83,47.91,0.74293073,0.42742931,0,26,52,1,2
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265358000,2,0,540817,,No,1,53831553061883006530739877284105938919721408776239639687877978808906551086026,0x1fad72fae204143ff1c3035e99e7c0f65ea8d5cd9bd1070987bd1a3316f772be,862ee07f5a07699a2e52f4c830ffb5255897bfae,0.01,0.395,468.56,9.6,0.95984608,0.39979923,0.005,20,49,0,3
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265353542,2,0,531202,,No,1,3842963720267267286970642336860752782302644680156535061700039388405652129691,0xb48621f7eba07b0a3eeabc6afb09ae42490239903997b9d412b0f69aeb040c8b,8936358c0eee7b3b3988061ba18ac8e07d02f259,0.029,0.7075,59,43.02,0.15663595,0.70977122,-0.4295,40,32,0,3
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265353542,2,0,531202,,Yes,0,75467129615908319583031474642658885479135630431889036121812713428992454630178,0xb48621f7eba07b0a3eeabc6afb09ae42490239903997b9d412b0f69aeb040c8b,4d23eac3c59a9708b88820831452b355743f6022,0.029,0.2925,43.02,59,-0.15663595,0.29022878,-0.0145,32,40,0,3
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265293756,2,0,540816,,Yes,0,8501497159083948713316135768103773293754490207922884688769443031624417212426,0x9c1a953fe92c8357f1b646ba25d983aa83e90c525992db14fb726fa895cb5763,ee4d7fbc3fedd17f55fe525907bf067012047c9e,0.02,0.58,47.91,324.83,-0.74293073,0.57257069,-0.16,52,26,1,2
v0_1,20260311T214230Z__20260312T133004Z,20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265358000,2,0,540817,,Yes,0,98022490269692409998126496127597032490334070080325855126491859374983463996227,0x1fad72fae204143ff1c3035e99e7c0f65ea8d5cd9bd1070987bd1a3316f772be,a8c4d05884af970f80995615bae11165610fd6f6,0.01,0.605,9.6,468.56,-0.95984608,0.60020077,-0.205,49,20,0,3
