source_run_id,collector_ts,book_timestamp,iteration,batch_index,market_id,event_id,outcome,token_index,token_id,clob_market,best_bid_price,best_bid_size,best_ask_price,best_ask_size,mid_price,spread,bid_levels_count,ask_levels_count,last_trade_price,hash,source_jsonl
20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265334715,2,1,540881,,Yes,0,8441400852834915183759801017793514978104486628517653995211751018945988243154,0xcccb7e7613a087c132b69cbf3a02bece3fdcb824c1da54ae79acc8d4a562d902,0.018,5486.77,0.019,403.24,0.0185,0.001,18,70,0.982,1749e8628f7c16b26f31e581331a8bbff3888af7,/home/lev/polymarket-research/data/raw/polymarket/books/books_run_20260311T214230Z.jsonl
20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265344565,2,1,544092,,No,1,86488478623677188352872801318507143761188967461168408688159600382919967378486,0xf398b0e5016eeaee9b0885ed84012b6dc91269ac10d3b59d60722859c2e30b2f,0.511,80,0.567,15.11,0.539,0.056,32,21,0.505,1574caedde0c1a78076ae370f510fc7a02744857,/home/lev/polymarket-research/data/raw/polymarket/books/books_run_20260311T214230Z.jsonl
20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265357587,2,1,540843,,No,1,17516427576383382756368467656206258206490015951115433065318503962238754362428,0x7b49b9bacb5f435bc10f3b100ff59e2fdd346f7f92a9001881bc9825a0af0f11,0.48,5071.65,0.49,4597.24,0.485,0.01,32,49,0.481,3a7a937cba1d4a0b00dad8f66f70552a008ec718,/home/lev/polymarket-research/data/raw/polymarket/books/books_run_20260311T214230Z.jsonl
20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265338445,2,1,540820,,No,1,64533579809297525579033609963634939501013332859992608996100633472507000251907,0x84f8b70331323c2fba97d7ceaa9a35fb645a0770d0dbff169d07f24f376766e9,0.47,2753.27,0.48,673.05,0.475,0.01,39,41,0.480,b56a75e05ea2efce1e18c9245748e815a1d4e1be,/home/lev/polymarket-research/data/raw/polymarket/books/books_run_20260311T214230Z.jsonl
20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265357587,2,1,540843,,Yes,0,21695138873211375451055566770107682325494206727818897067665810321709249824909,0x7b49b9bacb5f435bc10f3b100ff59e2fdd346f7f92a9001881bc9825a0af0f11,0.51,4597.24,0.52,5071.65,0.515,0.01,49,32,0.481,7a1782bbfac5de42d057c70f824913500fad8acb,/home/lev/polymarket-research/data/raw/polymarket/books/books_run_20260311T214230Z.jsonl
20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265338445,2,1,540820,,Yes,0,108999723207897941876452935557011604067917389120996960199512481363958770540884,0x84f8b70331323c2fba97d7ceaa9a35fb645a0770d0dbff169d07f24f376766e9,0.52,673.05,0.53,2753.27,0.525,0.01,41,39,0.480,b9335499432ce41489bd5e8e21280baf6922de93,/home/lev/polymarket-research/data/raw/polymarket/books/books_run_20260311T214230Z.jsonl
20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265359091,2,1,540844,,Yes,0,105267568073659068217311993901927962476298440625043565106676088842803600775810,0xbb57ccf5853a85487bc3d83d04d669310d28c6c810758953b9d9b91d1aee89d2,0.487,1519.82,0.49,66744.39,0.4885,0.003,63,50,0.510,13978f2edc7e1c652a81f29876b2311e46367eca,/home/lev/polymarket-research/data/raw/polymarket/books/books_run_20260311T214230Z.jsonl
20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265359091,2,1,540844,,No,1,91863162118308663069733924043159186005106558783397508844234610341221325526200,0xbb57ccf5853a85487bc3d83d04d669310d28c6c810758953b9d9b91d1aee89d2,0.51,66744.39,0.513,1519.82,0.5115,0.003,50,63,0.510,8a17328fcc51faa74ec1dac0a8c476e69b17b4bc,/home/lev/polymarket-research/data/raw/polymarket/books/books_run_20260311T214230Z.jsonl
20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265334715,2,1,540881,,No,1,109289569086508934142323222102974769075074494425163878721602922903101062859033,0xcccb7e7613a087c132b69cbf3a02bece3fdcb824c1da54ae79acc8d4a562d902,0.981,403.24,0.982,5486.77,0.9815,0.001,70,18,0.982,75d4d3d6b9a0520b009022f4823443cfa765a7a0,/home/lev/polymarket-research/data/raw/polymarket/books/books_run_20260311T214230Z.jsonl
20260311T214230Z,2026-03-11T21:42:40.559034+00:00,1773265344565,2,1,544092,,Yes,0,24327803960645909378149041810697343640752122608192367041827900158592826352552,0xf398b0e5016eeaee9b0885ed84012b6dc91269ac10d3b59d60722859c2e30b2f,0.433,15.11,0.489,80,0.461,0.056,21,32,0.505,a7216a30cd5d07004a16ff393ab4fccfab0a7c35,/home/lev/polymarket-research/data/raw/polymarket/books/books_run_20260311T214230Z.jsonl
